Fecha,Hora,Nombre,Calorias,Carbohidratos,Lipidos,Proteínas,Sodio,Azucar
15/08/2022,9:20,Sandiwch de mantequilla de Mani,380,14,32,14,300,6
15/08/2022,13:20,Atun -200gr,164,4,74,39,420,0
15/08/2022,13:20,Verduras-100gr,40,4,0,2,0,0
15/08/2022,17:00,Quesadilla,250,29,9,13,510,1
15/08/2022,19:20,Chocolatin,125,14,7,2,23,0
15/08/2022,19:20,Sandiwch de Jamón,229,20,5,24,0,0
15/08/2022,19:20,Sandwich de salami,446,31,28,18,1.384,5
15/08/2022,21:20,Cereal con avena,160,30,4,3,0,9
15/08/2022,19:20,1 vaso de Chocomilk,140,21,4,7,104,18
15/08/2022,21:20,1 jugo de Naranja,112,26,1,2,0,0
15/08/2022,21:20,Sandwich de mantequilla de Mani,380,14,32,14,300,6
16/08/2022,8:50,Barrita,71,7,4,1,0,7
16/08/2022,11:00,Pan de Muerto,290,48,8,0,40,0
16/08/2022,14:00,2 Hot Dogs,480,4,42,24,1.34,4
16/08/2022,21:00,Sopa de Ramen,384,52,15,10,1.633,1
16/08/2022,19:00,4 Quesadillas,1000,116,36,52,2040,4
17/08/2022,7:00,Barrita,71,7,4,1,0,7
17/08/2022,9:00,2 Latas de atún,436,4,1,64,988,0
17/08/2022,15:00,Medallon de atun,288,2,10,47,0,0
17/08/2022,15:30,Pan de Hot Dog,110,21,2,4,190,2
17/08/2022,15:30,Mantequilla de Mani,170,4,15,7,80,0
17/08/2022,18:00,Cereal con Leche,229,18,0,0,0,2
17/08/2022,21:30,2 Rebanadas de pizza,560,64,22,28,1.12,6
18/08/2022,7:00,2 Latas de atun,436,4,1,64,988,0
18/08/2022,8:00,Barrita,71,7,4,1,0,7
18/08/2022,8:00,Nito,126,19,5,2,78,11
18/08/2022,10:00,Platano,105,27,0,1,0,14
18/08/2022,14:00,2 Pechugas de Pollo,390,84,3,6,540,30
18/08/2022,19:00,Plato de cereal,300,50,8,14,210,15
18/08/2022,14:00,300gr de Arroz,1080,258,0,18,0,18
19/08/2022,8:30,3 Huevos,234,2,16,19,0,0
19/08/2022,12:00,100 gr de arrachera,160,3,7,20,560,0
19/08/2022,13:00,3 cucharas de aguacate,160,9,15,2,7,1
19/08/2022,14:00,150gr arroz,540,129,0,9,0,9
19/08/2022,23:00,50gr cacachuates,330,10,26,14,412,0
19/08/2022,23:00,3 tacos de pastor,672,67,20,58,1.534,23
20/08/2022,12:00,5 quesadillas de carnitas,1250,65,68,95,2.8,0
20/08/2022,16:00,2 tortas de carnitas,1042,112,45,40,2850,10
20/08/2022,12:00,Refresco Zuba,120,29,0,0,4,29
20/08/2022,21:00,2 tamales de carne,402,32,23,18,1198,2
21/08/2022,12:30,3 tamales de carne,603,47,35,26,1797,3
21/08/2022,13:00,TrikiTakes,270,36,12,0,90,18
21/08/2022,16:00,Vaso de Sidral Mundet,90,25,0,0,90,24
21/08/2022,17:00,2 rebanadas de pizza ,560,64,22,28,1.12,6
21/08/2022,18:00,100 gr Totopos con frijoles,132,9,7,9,594,0
21/08/2022,22:00,2 Sandwiches de jamon,428,36,20,0,891,1
22/08/2022,8:00,2 Mini conchas,230,11,10,5,150,9
22/08/2022,10:00,Lata de atun,119,0,10,27,500,0
22/08/2022,11:00,TrikiTrakes,270,36,12,0,90,18
22/08/2022,14:00,200gr de Pechuga de Pollo,290,0,12,44,132,0
22/08/2022,14:00,250 gr de Arroz,450,215,0,15,0,15
22/08/2022,15:00,Galletas de avellana,150,20,7,2,0,0
22/08/2022,21:00,3 Sandwiches de jamon,680,54,30,0,1341,2
23/08/2022,11:00,3 Huevos,234,2,16,19,0,0
23/08/2022,11:00,4 rebanadas de pan,255,56,1,7,500,5
23/08/2022,14:00,240gr de Lomo,434,0,26,51,168,0
23/08/2022,14:00,130 gr de Papas,83,18,0,3,24,0
23/08/2022,14:00,200 gr de Spagethi,350,140,4,24,0,6
23/08/2022,19:15,50 gr de Chicharron,344,0,24,32,1.36,0
23/08/2022,21:15,100 gr de Lomo,191,0,11,23,74,0
23/08/2022,21:20,200 gr de Spagethi,350,140,4,24,0,6
24/08/2022,8:30,Torta de Lomo,400,38,9,24,651,4
24/08/2022,14:00,Torta de milanesa,335,35,15,15,0,0
24/08/2022,18:00,Verduras 150 gr,105,15,2,3,0,0
24/08/2022,18:00,240 gr de Arroz,430,210,0,10,0,15
24/08/2022,18:00,210 gr de pollo teriyaki con ranch,324,46,6,21,0,1
24/08/2022,19:15,Galletas emperador,417,60,17,6,390,31
24/08/2022,20:30,Pastel de Naranja Limon,140,14,8,2,75,7
25/08/2022,8:15,2 Molletes con chorizo,619,111,11,21,949,6
25/08/2022,13:15,Media pechuga de pollo,145,0,6,22,66,0
25/08/2022,13:15,Verduras,105,15,2,3,0,0
25/08/2022,14:20,Medallon de atun,90,0,0,21,0,0
25/08/2022,14:30,100gr de arroz,195,90,0,4,0,7
25/08/2022,19:40,Torta de bisteck,367,14,19,35,96,0
25/08/2022,19:45,3 tacos de pastor,427,20,28,22,515,0
26/08/2022,11:30,Chilaquiles 200gr,665,48,48,15,0,8
26/08/2022,11:40,Frijoles 100gr,184,0,0,0,0,0
26/08/2022,15:40,4 Tacos de atun,388,0,2,92,0,0
